"open","high","low","close","vwap","count","base_currency","base_issuer","base_volume","counter_currency","counter_issuer","counter_volume","open_time","close_time","start","buy_volume"
"0.29049116","0.30212695","0.21990000","0.24964351","0.25840519","12041","XRP","","17686692.53856601","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","4570333.158812875","2017-06-26T23:59:41Z","2017-06-26T23:59:41Z","2017-06-24T00:00:00Z","NaN"
"0.25132731","0.27282414","0.22828340","0.25383236","0.25210387","11199","XRP","","14420854.96187801","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","3635553.405572619","2017-06-29T23:57:42Z","2017-06-29T23:57:42Z","2017-06-27T00:00:00Z","NaN"
"0.25409380","0.26035309","0.23605000","0.24866325","0.24727203","6070","XRP","","8742270.402650988","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","2161718.953105655","2017-07-02T23:58:01Z","2017-07-02T23:58:01Z","2017-06-30T00:00:00Z","NaN"
"0.24866325","0.25699780","0.23258139","0.24987882","0.24980802","4459","XRP","","6639565.571638005","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1658616.707676395","2017-07-05T23:54:41Z","2017-07-05T23:54:41Z","2017-07-03T00:00:00Z","NaN"
"0.24978140","0.25160072","0.21270954","0.23108937","0.23273854","6614","XRP","","10789180.017569","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","2511057.957763999","2017-07-08T23:59:20Z","2017-07-08T23:59:20Z","2017-07-06T00:00:00Z","NaN"
"0.23126387","0.24024024","0.14470000","0.17550900","0.19282089","11341","XRP","","19821508.06504907","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","3822000.860594845","2017-07-11T23:41:21Z","2017-07-11T23:41:21Z","2017-07-09T00:00:00Z","NaN"
"0.17521390","0.21300100","0.16500000","0.18005000","0.18432893","5262","XRP","","10003384.34240999","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1843913.103530835","2017-07-14T23:57:20Z","2017-07-14T23:57:20Z","2017-07-12T00:00:00Z","NaN"
"0.18005000","0.18408568","0.12657602","0.17160643","0.15430531","14601","XRP","","36535686.01109","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","5637650.35581604","2017-07-17T23:59:51Z","2017-07-17T23:59:51Z","2017-07-15T00:00:00Z","NaN"
"0.17178009","0.19738419","0.15770000","0.18801056","0.17373202","12583","XRP","","31568643.90840801","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","5484484.275664104","2017-07-20T23:59:12Z","2017-07-20T23:59:12Z","2017-07-18T00:00:00Z","NaN"
"0.18939184","0.20754368","0.18188280","0.19568000","0.19132024","8614","XRP","","16746850.308311","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","3204011.390351997","2017-07-23T23:54:00Z","2017-07-23T23:54:00Z","2017-07-21T00:00:00Z","NaN"
"0.19563801","0.19837308","0.16500000","0.17283532","0.18028105","4571","XRP","","9601848.577442005","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1731031.377051868","2017-07-26T23:50:30Z","2017-07-26T23:50:30Z","2017-07-24T00:00:00Z","NaN"
"0.17233670","0.17696714","0.15470620","0.16663834","0.16483746","3547","XRP","","7560740.116446009","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1246293.18724923","2017-07-29T23:59:52Z","2017-07-29T23:59:52Z","2017-07-27T00:00:00Z","NaN"
"0.16534086","0.18250000","0.15772259","0.17697136","0.16699731","5631","XRP","","9876548.629210003","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1649357.017486894","2017-08-01T23:59:43Z","2017-08-01T23:59:43Z","2017-07-30T00:00:00Z","NaN"
"0.17603260","0.18197829","0.16822500","0.17563276","0.17371636","2656","XRP","","4684006.728779999","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","813688.5795162825","2017-08-04T23:35:40Z","2017-08-04T23:35:40Z","2017-08-02T00:00:00Z","NaN"
"0.17400977","0.19300943","0.16851000","0.17816430","0.18143010","4490","XRP","","7658976.778989995","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1389568.946633461","2017-08-07T23:51:00Z","2017-08-07T23:51:00Z","2017-08-05T00:00:00Z","NaN"
